id,uit_id,title,context,question,answers,is_impossible,plausible_answers,hop
0123-0056-0001,uit_023874,Hà Nội,"Cũng giống như Thành phố Hồ Chí Minh, điều kiện chăm sóc y tế giữa nội ô và các huyện ngoại thành Hà Nội có sự chênh lệch lớn. Sau đợt mở rộng địa giới hành chính năm 2008, mức chênh lệch này càng tăng, thể hiện qua các chỉ số y tế cơ bản. Nếu như tại địa phận Hà Nội cũ, tỷ lệ trẻ em suy dinh dưỡng là 9,7%, thì ở Hà Tây, con số lên tới 17%. Tương tự, tuổi thọ trung bình tại khu vực Hà Nội cũ khá cao, 79 tuổi, nhưng sau khi mở rộng, con số này bị giảm xuống còn 75,6 tuổi. Tại không ít khu vực thuộc các huyện ngoại thành, cư dân vẫn phải sống trong điều kiện vệ sinh yếu kém, thiếu nước sạch để sinh hoạt, phải sử dụng nước ao, nước giếng.",Vấn đề về lĩnh vực y tế nào mà Hà Nội đang vấp phải tương tự như thành phố Hồ Chí Minh?,"{'text': [điều kiện chăm sóc y tế giữa nội ô và các huyện ngoại thành Hà Nội có sự chênh lệch lớn], 'answer_start': [38]}",False,,1
0045-0047-0007,uit_007331,Ả Rập Xê Út,"Hồi giáo là quốc giáo của Ả Rập Xê Út và pháp luật vương quốc yêu cầu rằng toàn bộ công dân là tín đồ Hồi giáo., và gần như toàn bộ cư dân Ả Rập Xê Út là người Hồi giáo. Khu vực Hejaz có các thành phố Mecca và Medina là cái nôi của Hồi giáo, là điểm đến trong cuộc hành hương hajj, là hai thánh địa của Hồi giáo. Theo ước tính số lượng tín đồ hệ Hồi giáo Sunni tại Ả Rập Xê Út là từ 75% đến 90%, 10–25% còn lại thuộc hệ Hồi giáo Shia. Thể thức chính thức và chi phối của hệ Hồi giáo Sunni tại Ả Rập Xê Út thường được gọi là Wahhabi (những người đề xướng chuộng tên gọi tư tưởng Salafi, nhìn nhận Wahhabi là xúc phạm) và thường được các nhà quan sát mô tả là 'chủ nghĩa đạo đức', 'không khoan dung', hay 'cực bảo thủ', còn các tín đồ xem đây là Hồi giáo ""đích thực"". Phái này do Muhammad ibn Abd al-Wahhab thành lập trong thế kỷ XVIII tại bán đảo Ả Rập. Các phái khác như Hồi giáo Shia thiểu số bị đàn áp có hệ thống. do tư tưởng Wahabbi lên án đức tin Shia.","Sau hệ Hồi giáo Sunni và hệ Hồi giáo Shia, hệ nào có nhiều tín đồ hơn?","{'text': [], 'answer_start': []}",True,"{'text': [hệ Hồi giáo Sunni], 'answer_start': [343]}",1
0138-0196-0001,uit_028300,Chiến tranh Đông Dương,"Cuối tháng 1, Chủ tịch Hồ Chí Minh bí mật sang Bắc Kinh để bàn về vấn đề viện trợ, sau đó đi Moskva gặp gỡ Stalin và Mao Trạch Đông, Chu Ân Lai đang ở thăm Liên Xô. Stalin và Mao Trạch Đông đã khẳng định: Việt Nam cần trang bị 10 đại đoàn để đánh thắng Pháp, trước mắt hãy trang bị cho 6 đại đoàn có mặt ở miền Bắc. Việt Nam có thể đưa ngay một số đơn vị sang nhận vũ khí trên đất Trung Quốc. Tỉnh Quảng Tây sẽ là hậu phương trực tiếp của Việt Nam. Từ đó, viện trợ của Trung Quốc đã một góp phần không nhỏ trong việc làm thay đổi cục diện chiến tranh ở Đông Dương. Archimedes Patti, một nhân viên tình báo quân sự Mỹ từng hợp tác với Việt Minh chống phát xít Nhật, trong hồi ký viết: Đến năm 1950, Mao Trạch Đông đã ở trong thế có thể giúp đỡ Hồ Chí Minh qua đường biên giới phía Bắc Việt Nam. Hồ Chí Minh không còn bị cô lập như trước, ông đã có rất nhiều đồng minh, trước hết là Trung Quốc và sau đó là Liên Xô, một sân bóng mới đã bắt đầu.","Ba người đứng đầu của Việt Nam, Liên Xô, Trung Quốc đã gặp gỡ ở đâu để bàn về vấn đề viện trợ?","{'text': [Moskva], 'answer_start': [93]}",False,,1
0107-0060-0003,uit_020524,Đế quốc La Mã,"Do đã triển khai lực lượng kỵ binh nặng hùng mạnh và lực lượng kị cung cơ động, Parthia là kẻ thù ghê gớm nhất của Đế quốc La Mã ở phía đông. Traianus đã tiến hành chiến dịch chống lại người Parthia và ông đã chiếm được kinh đô của họ trong một thời gian ngắn, đặt một vị vua bù nhìn lên ngai vàng, nhưng các vùng lãnh thổ này sau đó đã bị từ bỏ. Năm 161, vua Parthia là Vologases IV phục hưng quốc gia, mới đem quân đánh Armenia, trục xuất vua bù nhìn thân La Mã, lập người nhà Arsaces là Bakur làm vua. Các thống đốc La Mã Lucius Attidius Cornelianus và Marcus Sedatius Severianus đưa quân vào Armenia, bị thua luôn. Năm 161, Marcus Aurelius lên ngôi hoàng đế, sai tướng Gaius Avidius Cassius đánh Parthia. Thành Seleucia trên sông Tigris của Parthia bị phá hủy, và người Parthia giảng hòa nhưng bị buộc phải nhượng vùng Tây Lưỡng Hà cho La Mã.","Năm 161, đã có những biến cố gì xảy ra đối với người Parthia?","{'text': ['vua Parthia là Vologases IV phục hưng quốc gia, mới đem quân đánh Armenia, trục xuất vua bù nhìn thân La Mã, lập người nhà Arsaces là Bakur làm vua'], 'answer_start': [356]}",False,,1
0057-0032-0002,uit_010476,Bồ Đào Nha,"Bồ Đào Nha có đường bờ biển dài, ngoài 943 km bờ biển tại đại lục Bồ Đào Nha, thì các quần đảo Açores (667 km) và Madeira (250 km) chủ yếu có bờ biển vách đá gồ ghề. Hầu hết các cảnh quan này xen kẽ giữa vách đá gồ ghề và các bãi biển cát mịn; vùng Algarve nổi tiếng với các bãi biển cát nổi tiếng đối với du khách, trong khi đó đường bờ biển dốc của vùng quanh mũi St. Vincent lại nổi tiếng với các vách đá dốc đứng. Một đặc điểm đáng chú ý của bờ biển Bồ Đào Nha là Ria Formosa với một số đảo cát và khí hậu ôn hoà cùng mùa hè ấm và mùa đông thường là êm dịu. Bờ biển Ria de Aveiro (gần Aveiro, được gọi là ""Venezia của Bồ Đào Nha""), được hình thành từ một đồng bằng châu thổ (dài khoảng 45 km và rộng tối đa 11 km) có nhiều cá và chim biển.",Đường bờ biển tại các quần đảo Açores và Madeira có đặc điểm gì nổi bật?,"{'text': [có bờ biển vách đá gồ ghề], 'answer_start': [139]}",False,,1
0095-0036-0007,uit_017395,Trung Quốc Quốc dân Đảng,"Trung Quốc Quốc dân Đảng sử dụng các nghi lễ tôn giáo Trung Hoa truyền thống, theo họ linh hồn của những liệt sĩ Quốc dân Đảng được đưa đến thiên đàng. Quốc dân Đảng ủng hộ Phong trào Tân sinh hoạt, vốn xúc tiến Nho giáo, và cũng chống lại Tây phương hóa. Các nhà lãnh đạo Quốc dân Đảng cũng phản đối Phong trào Ngũ Tứ, Tưởng Giới Thạch chống lại việc phong trào này đập phá tượng thần thánh. Ông nhìn nhận một số tư tưởng phương Tây là ngoại lai, và không hoan nghênh việc phổ biến các tư tưởng và văn học phương Tây như ý muốn của Phong trào Ngũ Tứ. Tưởng Giới Thạch và Tôn Trung Sơn chỉ trích các tri thức Ngũ Tứ làm lệnh lạc đạo đức của thanh niên. Quốc dân Đảng còn hợp nhất Nho giáo vào luật học của mình, họ xá tội cho Thi Kiếm Kiềm việc giết Tôn Truyền Phương do bà làm vậy để trả thù vì Tôn Truyền Phương giết cha bà, một ví dụ về lòng hiếu thảo với cha mẹ trong Nho giáo.",Tưởng Giới Thạch và Thi Kiếm Kiềm đã chỉ trích điều gì?,"{'text': [], 'answer_start': []}",True,"{'text': [các tri thức Ngũ Tứ làm lệnh lạc đạo đức của thanh niên], 'answer_start': [596]}",1
0006-0044-0004,uit_000945,Nhật Bản,"Các tác phẩm đầu tiên của văn học Nhật Bản bao gồm hai cuốn sách lịch sử Kojiki và Nihon Shoki cũng như tập thơ từ thế kỷ thứ VIII Man'yōshū, tất cả đều được viết bằng Hán tự. Vào giai đoạn đầu của thời kỳ Heian, hệ thống ký tự kana (Hiragana và Katakana) ra đời. Cuốn tiểu thuyết The Tale of the Bamboo Cutter được coi là tác phẩm ký sự lâu đời nhất của Nhật. Một hồi ký về cuộc đời trong cung cấm được ghi trong cuốn The Pillow Book, viết bởi Sei Shōnagon, trong khi Truyện kể Genji của Murasaki Shikibu thường được coi là tiểu thuyết đầu tiên trên thế giới. Trong thời kỳ Edo, văn học không thực sự phát triển trong giới Samurai như trong tầng lớp người chōnin. Yomihon, là một ví dụ, đã trở nên nổi tiếng và tiết lộ sự thay đổi sâu kín này trong giới độc giả cũng như tác giả thời kỳ này. Thời kỳ Minh Trị chứng kiến một giai đoạn đi xuống trong các thể loại văn học truyền thống của Nhật, trong thời kỳ này thì văn học Nhật chịu nhiều ảnh hưởng từ văn học phương Tây. Natsume Sōseki và Mori Ōgai được coi là những văn hào tiểu thuyết ""hiện đại"" đầu tiên của Nhật, tiếp đó có thể kể đến Akutagawa Ryūnosuke, Tanizaki Jun'ichirō, Yasunari Kawabata, Yukio Mishima và gần đây hơn là Haruki Murakami. Nhật Bản có hai nhà văn từng đoạt giải Nobel là Yasunari Kawabata(1968) và Kenzaburo Oe (1994).",Tác phẩm văn học nào có tuổi đời dài nhất trong thể loại ký sự?,"{'text': [tiểu thuyết The Tale of the Bamboo Cutter], 'answer_start': [269]}",False,,1
0104-0026-0003,uit_019331,Trung Hoa Dân Quốc (1912-1949),"Thời kỳ đầu kiến quốc, Trung Hoa Dân Quốc đổi ""phủ"" trước đó thành huyện, đương thời từng có một số huyện xúc tiến chế độ đô thị, song đều bị Chính phủ Bắc Dương ngăn chặn. Tháng 2 năm 1921, Chính phủ quân sự Trung Hoa Dân Quốc đổi Quảng Châu thành ""thị"" (thành phố), mở đầu trào lưu các địa phương toàn quốc thi hành chế độ đô thị. Ngày 3 tháng 7 cùng năm, Chính phủ Bắc Dương ban bố ""chế độ tự trị đô thị"", phân đô thị thành hai loại là thành phố đặc biệt và thành phố phổ thông, toàn quốc tổng cộng có sáu thành phố đặc biệt là Kinh Đô, Tân Cô (nay là Nam Kinh), Tùng Hỗ (nay là Thượng Hải), Thanh Đảo, Cáp Nhĩ Tân, Hán Khẩu (nay là Vũ Hán). Năm 1930, Chính phủ Quốc Dân ra ""pháp lệnh tổ chức thành phố"", phân ra thành ""tỉnh hạt thị"" và ""viện hạt thị"". ""Tỉnh hạt thị"" đồng cấp với các huyện, ""viện hạt thị"" đồng cấp với các tỉnh, yêu cầu nhân khẩu cần vượt quá một triệu, song cũng có ngoại lệ. Sau khi công bố Hiến pháp Trung Hoa Dân Quốc, ""viện hạt thị"" đổi sang gọi là ""trực hạt thị"". Năm 1949, toàn quốc tổng cộng có 12 trực hạt thị：",Thượng Hải ngày nay từng có tên gọi gì khi lúc mới được trở thành thành phố đặc biệt?,"{'text': [Tùng Hỗ], 'answer_start': [566]}",False,,1
0033-0009-0003,uit_005260,Nhà Hán,"Lúc này ở phương Nam, Triệu Đà lập ra nước Nam Việt, xưng bá một phương, tự xưng là Nam Việt Vũ Đế (南越武帝). Thời Hán Cao hậu còn tại vị, triều Hán đã nhiều lần cử binh đánh dẹp nhưng đều đại bại, nhân đó Triệu Đà đánh luôn lên quận Trường Sa của nhà Hán. Đến thời Hán Văn Đế, ông chủ trương đối đãi mềm dẻo với Triệu Đà. Biết mồ mả tổ tiên Triệu Đà ở Chân Định, ông sai người đến trông coi mồ mả cho tổ tiên Triệu Đà, một năm 4 lần tế lễ trọng thể, lại phong quan tước cho chú bác, anh em Triệu Đà. Nhân Lục Giả là người từng đi sứ Nam Việt thời Hán Cao Tổ, ông sai Lục Giả đi sứ Nam Việt lần nữa để thuyết phục Triệu Đà thần phục nhà Hán như trước. Triệu Đà dần cảm phục Hán Văn Đế, lại xưng thần với nhà Hán như trước, lãnh thổ phương nam được yên bình.",Chính sách đối ngoại với Nam Việt của nhà Hán dưới thời vua Hán Văn là gì?,"{'text': [đối đãi mềm dẻo], 'answer_start': [290]}",False,,1
0042-0052-0006,uit_006802,Giáo hoàng Gioan Phaolô II,"Trong khi những người cấp tiến chỉ trích sự bảo thủ của Giáo hoàng, những tín đồ Công giáo bảo thủ lại chỉ trích những biện pháp cấp tiến của Gioan Phaolô II. Một trong những chỉ trích của nhóm bảo thủ có nội dung yêu cầu Giáo hoàng phục hồi Thánh lễ Công đồng Trent và hủy bỏ các cải cách thực hiện sau Công đồng Vaticanô II tỉ như việc sử dụng các ngôn ngữ bản địa thay thế cho tiếng La Tinh trong các nghi lễ nhà thờ La Mã, phong trào Đại Kết, và các nguyên lý về tự do tôn giáo. Ông cũng bị phe bảo thủ chỉ trích vì đã bổ nhiệm các Giám mục có tư tưởng tự do và làm ngơ cho họ tuyên truyền các tư tưởng đổi mới, cấp tiến, những tư tưởng này từng bị giáo hoàng Piô X chỉ trích là ""sự tổng hợp của mọi tư tưởng dị giáo"". Năm 1988, Tổng Giám mục theo tư tưởng bảo thủ Marcel Lefebvre, người sáng lập Hội Thánh Piô X vào năm 1970, đã bị Gioan Phaolô II tuyệt thông vì đã phản đối việc Vatican thụ phong cho 4 Giám mục - hành động này bị tòa thánh cáo buộc là ""ly giáo"".",Một trong các yêu cầu mà người dân đã yêu cầu Giáo hoàng phải làm là gì?,"{'text': [], 'answer_start': []}",True,"{'text': [phục hồi Thánh lễ Công đồng Trent], 'answer_start': [233]}",1
